combination,ml type,loss rate,f1 score
B,AB,0.11188158496297618,0.9876595533519752
C,KNN,0.11188158496297618,0.8414262638456195
I,AB,0.11188158496297618,0.9259668351651348
B + C,AB,0.11188158496297618,0.9894882246483073
B + I,AB,0.11188158496297618,0.9926864685574266
C + I,AB,0.11188158496297618,0.9616137797925107
B + C + I,AB,0.11188158496297618,0.9899458613529967
T,GN,0.12128038961177282,0.9944251234573814
T + B,AB,3.1833022970886233,1.0
T + C,AB,3.1833022970886233,0.9916990277892535
T + I,AB,3.1833022970886233,0.9972330092630844
T + B + C,AB,4.203976266247574,0.9972330092630844
T + B + I,AB,4.203976266247574,1.0
T + C + I,AB,4.203976266247574,0.9972330092630844
T + B + C + I,AB,4.714313250827049,1.0
