combination,ml type,loss rate,f1 score
B,AB,0.10875483346793609,0.9354398450070474
C,KNN,0.10875483346793609,0.8163651562682266
I,AB,0.10875483346793609,0.7926778547375584
B + C,AB,0.10875483346793609,0.9619377885453091
B + I,AB,0.10875483346793609,0.9619463768983674
C + I,AB,0.10875483346793609,0.8809869863710516
B + C + I,AB,0.10875483346793609,0.9619463768983674
T,AB,0.1277555767361817,0.9972330092630844
T + B,AB,3.0918066957110035,0.9958935405737949
T + C,AB,3.0918066957110035,0.9944251234573814
T + I,AB,3.0918066957110035,0.9945054945054945
T + B + C,AB,4.079823735369278,0.9986214824379803
T + B + I,AB,4.079823735369278,0.9958343144458847
T + C + I,AB,4.079823735369278,0.9972330092630844
T + B + C + I,AB,4.573832255198416,0.9958644473139416
