combination,ml type,loss rate,f1 score
B,AB,0.10959297792490179,0.98856791176702
C,KNN,0.10959297792490179,0.8393977565786419
I,AB,0.10959297792490179,0.9661529450242741
B + C,AB,0.10959297792490179,0.9949704177869494
B + I,AB,0.10959297792490179,0.9963418649308133
C + I,AB,0.10959297792490179,0.981711711642656
B + C + I,AB,0.10959297792490179,0.9931403739106042
T,GN,0.12123031882336677,0.9958343144458847
T + B,AB,3.1786803882507764,0.9986214824379803
T + C,AB,3.1786803882507764,0.9945054945054945
T + I,AB,3.1786803882507764,0.9944251234573814
T + B + C,AB,4.197830411393245,1.0
T + B + I,AB,4.197830411393245,1.0
T + C + I,AB,4.197830411393245,0.9958644473139416
T + B + C + I,AB,4.707405422964481,0.9986214824379803
