combination,ml type,loss rate,f1 score,support
B,AB,0.11854381369043043,0.9844522104258645,2187
C,DNN,0.11854381369043043,0.8160867789250971,2187
I,AB,0.11854381369043043,0.8948349963904665,2187
B + C,AB,0.11854381369043043,0.9913114166539807,2187
B + I,AB,0.11854381369043043,0.9885673425377753,2187
C + I,AB,0.11854381369043043,0.9373592581236248,2187
B + C + I,AB,0.11854381369043043,0.9949702305263588,2187
T,GN,0.12131411420976308,0.9972330092630844,728
T + B,AB,3.1816445336367316,0.9986214824379803,728
T + C,AB,3.1816445336367316,1.0,728
T + I,DT,3.1816445336367316,0.9945054945054945,728
T + B + C,AB,4.201754673445722,0.9986214824379803,728
T + B + I,AB,4.201754673445722,1.0,728
T + C + I,AB,4.201754673445722,0.9915741102606687,728
T + B + C + I,AB,4.711809743350216,0.9986214824379803,728
