combination,ml type,loss rate,f1 score,support
B,AB,0.4580502327329545,0.7436151205443029,207
C,AB,0.4580502327329545,0.6817632850241546,207
I,AB,0.4580502327329545,0.712700968739616,207
B + C,DT,0.4580502327329545,0.789298783074386,207
B + I,AB,0.4580502327329545,0.7900476371409446,207
C + I,AB,0.4580502327329545,0.7240052992007172,207
B + C + I,AB,0.4580502327329545,0.7692395890662264,207
T,AB,1.103452668159068,0.7516832794454329,133
T + B,GB,2.0243101712521696,0.8313641245972073,133
T + C,DT,2.0243101712521696,0.7809109550736345,133
T + I,AB,2.0243101712521696,0.840511190210943,133
T + B + C,DNN,2.331262672283203,0.8042459088898718,133
T + B + I,AB,2.331262672283203,0.8041115965743527,133
T + C + I,AB,2.331262672283203,0.8195896797624999,133
T + B + C + I,GB,2.4847389227987198,0.8111301336841676,133
