combination,ml type,loss rate,f1 score,support
B,AB,0.4711877791060153,0.8030036154630573,207
C,DT,0.4711877791060153,0.6926746949630245,207
I,AB,0.4711877791060153,0.7993749047634869,207
B + C,RF,0.4711877791060153,0.8045643287165986,207
B + I,AB,0.4711877791060153,0.8637892732465883,207
C + I,DT,0.4711877791060153,0.7592072395615728,207
B + C + I,AB,0.4711877791060153,0.8654142940769517,207
T,RF,1.0836247539803843,0.6478933182011632,146
T + B,RF,1.7957997073576932,0.8273397723930925,145
T + C,GB,1.7957997073576932,0.7840514137285384,145
T + I,DT,1.7957997073576932,0.8344670130688081,145
T + B + C,DT,2.009460325911707,0.8482758620689654,145
T + B + I,AB,2.009460325911707,0.9103362975284158,145
T + C + I,AB,2.009460325911707,0.8197460971007033,145
T + B + C + I,AB,2.116290635188714,0.9241379310344827,145
