combination,ml type,loss rate,f1 score,support
B,AB,0.11188158496297618,0.9876598319059635,2188
C,GB,0.11188158496297618,0.8208351952831271,2188
I,AB,0.11188158496297618,0.9177417507955244,2188
B + C,AB,0.11188158496297618,0.9940581594000077,2188
B + I,AB,0.11188158496297618,0.9908594155624151,2188
C + I,AB,0.11188158496297618,0.9415061260974031,2188
B + C + I,AB,0.11188158496297618,0.9936010131467812,2188
T,GN,0.12128038961177282,0.9916990277892535,728
T + B,AB,3.183302297088624,1.0,728
T + C,GN,3.183302297088624,0.9916990277892535,728
T + I,SVM,3.183302297088624,0.9958343144458847,728
T + B + C,AB,4.203976266247574,1.0,728
T + B + I,AB,4.203976266247574,1.0,728
T + C + I,AB,4.203976266247574,0.9972527472527473,728
T + B + C + I,AB,4.714313250827049,0.9986214824379803,728
