combination,ml type,loss rate,f1 score,support
B,RF,0.548632590564262,0.7462314471243042,196
C,AB,0.548632590564262,0.6447536590393733,196
I,AB,0.548632590564262,0.7700812280796725,196
B + C,AB,0.548632590564262,0.7696493982208268,196
B + I,AB,0.548632590564262,0.8157916392363396,196
C + I,DT,0.548632590564262,0.7828159765335287,196
B + C + I,AB,0.548632590564262,0.8562736418511065,196
T,GB,1.1298474049808154,0.7665360334799263,133
T + B,AB,1.906194821757494,0.8342482740244523,133
T + C,AB,1.906194821757494,0.8569483282674772,133
T + I,AB,1.906194821757494,0.803776860183245,133
T + B + C,GB,2.1649772940163867,0.7969234818763898,133
T + B + I,AB,2.1649772940163867,0.8870644696848504,133
T + C + I,AB,2.1649772940163867,0.8647075834382336,133
T + B + C + I,AB,2.2943685301458334,0.8721804511278195,133
