combination,ml type,loss rate,f1 score,support
B,GB,0.06233000740693129,0.9731031654026306,1190
C,RF,0.06233000740693129,0.7014684263568942,1190
I,AB,0.06233000740693129,0.8747512670298787,1190
B + C,GB,0.06233000740693129,0.9680640694816133,1190
B + I,RF,0.06233000740693129,0.972258622094522,1190
C + I,AB,0.06233000740693129,0.8932769340986753,1190
B + C + I,AB,0.06233000740693129,0.9714279257629852,1190
T,SVM,0.07449809371843544,0.9832753703721444,728
T + B,KNN,2.2834730308459,0.9939900355916357,661
T + C,GB,2.2834730308459,0.9923544109896526,661
T + I,AB,2.2834730308459,0.9909228441754917,661
T + B + C,AB,2.837515452368502,0.9969950177958179,661
T + B + I,AB,2.837515452368502,1.0,661
T + C + I,RF,2.837515452368502,0.9829256804860846,661
T + B + C + I,AB,3.1145366631298033,0.9969527976171402,661
