combination,ml type,loss rate,f1 score,support
B,AB,0.5690882422306274,0.6780664519906323,192
C,KNN,0.5690882422306274,0.703085094286814,192
I,GN,0.5690882422306274,0.7550443458980046,192
B + C,AB,0.5690882422306274,0.7807133204633204,192
B + I,AB,0.5690882422306274,0.7451888489208635,192
C + I,KNN,0.5690882422306274,0.7924252811054261,192
B + C + I,AB,0.5690882422306274,0.8432311432637571,192
T,AB,1.0983379288936526,0.7882239846190819,133
T + B,AB,1.7936342176099387,0.8196101112509782,133
T + C,DT,1.7936342176099387,0.8120938478511801,133
T + I,AB,1.7936342176099387,0.8493166127495021,133
T + B + C,DT,2.0132027660538254,0.8421410000982766,133
T + B + I,AB,2.0132027660538254,0.8569483282674772,133
T + C + I,AB,2.0132027660538254,0.8792472985743046,133
T + B + C + I,KNN,2.122987040275769,0.8646157456055334,133
