combination,ml type,loss rate,f1 score,support
B,AB,0.10875483346793609,0.9416772582367028,2076
C,DNN,0.10875483346793609,0.8243832783643082,2076
I,AB,0.10875483346793609,0.7885002461310494,2076
B + C,AB,0.10875483346793609,0.9556778345258945,2076
B + I,AB,0.10875483346793609,0.9566465938145883,2076
C + I,AB,0.10875483346793609,0.8814355644577857,2076
B + C + I,AB,0.10875483346793609,0.9696539187470861,2076
T,GN,0.1277555767361817,0.9958343144458847,728
T + B,KNN,3.0918066957110035,0.9944251234573814,728
T + C,AB,3.0918066957110035,0.994466018526169,728
T + I,AB,3.0918066957110035,0.9986214824379803,728
T + B + C,AB,4.079823735369278,0.9944251234573814,728
T + B + I,AB,4.079823735369278,0.9930571907431411,728
T + C + I,AB,4.079823735369278,0.9958644473139416,728
T + B + C + I,AB,4.573832255198415,0.9986214824379803,728
