combination,ml type,loss rate,f1 score,support
B,AB,0.5249713874242005,0.8094466616330491,200
C,AB,0.5249713874242005,0.6456927899686521,200
I,GB,0.5249713874242005,0.7816027874564461,200
B + C,AB,0.5249713874242005,0.8651840958314394,200
B + I,RF,0.5249713874242005,0.8885494505494504,200
C + I,RF,0.5249713874242005,0.7668451468333529,200
B + C + I,AB,0.5249713874242005,0.8848361162646876,200
T,AB,1.1272605766220196,0.7744870997031248,133
T + B,AB,1.9739219796233622,0.8421410000982766,133
T + C,AB,1.9739219796233622,0.8120726191646149,133
T + I,AB,1.9739219796233622,0.8271263400230857,133
T + B + C,AB,2.2561424472904763,0.8871797121535498,133
T + B + I,AB,2.2561424472904763,0.8571428571428571,133
T + C + I,RF,2.2561424472904763,0.8413493122947008,133
T + B + C + I,AB,2.3972526811240336,0.9022556390977443,133
