combination,ml type,loss rate,f1 score,support
B,RF,0.0,0.9146314899275491,1094
C,GB,0.0,0.6273935307775619,1094
I,AB,0.0,0.6743448466995008,1094
T,GB,0.0,0.9796887035886173,728
B + C,GB,0.0,0.9100524304940603,1094
B + I,GB,0.0,0.8989111780154394,1094
C + I,RF,0.0,0.6606924339111734,1094
B + C + I,GB,0.0,0.9128552949727564,1094
T + B,AB,2.430268625916941,0.9787189777574808,613
T + C,LOG_R,2.430268625916941,0.9813009129442818,613
T + I,GB,2.430268625916941,0.9703552930028616,613
T + B + C,GB,2.898813443177691,0.9703552930028616,613
T + B + I,AB,2.898813443177691,0.9830691640134278,613
T + C + I,GB,2.898813443177691,0.9722219316702698,613
T + B + C + I,AB,3.133085851808066,0.9852669846013329,613
