combination,ml type,loss rate,f1 score,support
B,DT,0.6408757777659165,0.7286788447572763,195
C,KNN,0.6408757777659165,0.6841134392056605,195
I,AB,0.6408757777659165,0.7216504697458382,195
B + C,AB,0.6408757777659165,0.8171252747252747,195
B + I,DT,0.6408757777659165,0.7955724991389651,195
C + I,KNN,0.6408757777659165,0.7196033562166285,195
B + C + I,AB,0.6408757777659165,0.7763478794386072,195
T,AB,1.3839234704685952,0.8200378996271166,128
T + B,DT,2.1389907643718007,0.828083028083028,128
T + C,AB,2.1389907643718007,0.7734236708783496,128
T + I,AB,2.1389907643718007,0.8423645320197044,128
T + B + C,AB,2.3906798623395358,0.85082500153346,128
T + B + I,AB,2.3906798623395358,0.8270695160894128,128
T + C + I,AB,2.3906798623395358,0.8592375366568914,128
T + B + C + I,AB,2.5165244113234033,0.8828053470060427,128
