combination,ml type,loss rate,f1 score,support
B,AB,0.10959297792490179,0.98856791176702,2187
C,KNN,0.10959297792490179,0.8393977565786419,2187
I,AB,0.10959297792490179,0.9661529450242741,2187
B + C,AB,0.10959297792490179,0.9949704177869494,2187
B + I,AB,0.10959297792490179,0.9963418649308133,2187
C + I,AB,0.10959297792490179,0.981711711642656,2187
B + C + I,AB,0.10959297792490179,0.9931403739106042,2187
T,GN,0.12123031882336677,0.9958343144458847,728
T + B,AB,3.178680388250776,0.9986214824379803,728
T + C,AB,3.178680388250776,0.9945054945054945,728
T + I,AB,3.178680388250776,0.9944251234573814,728
T + B + C,AB,4.197830411393246,1.0,728
T + B + I,AB,4.197830411393246,1.0,728
T + C + I,AB,4.197830411393246,0.9958644473139416,728
T + B + C + I,AB,4.707405422964481,0.9986214824379803,728
