combination,ml type,loss rate,f1 score,support
B,DT,0.5289206444784105,0.7483834437461072,203
C,AB,0.5289206444784105,0.7348845046098115,203
I,DNN,0.5289206444784105,0.6787293113580898,203
B + C,AB,0.5289206444784105,0.7733990147783252,203
B + I,AB,0.5289206444784105,0.8086945368991156,203
C + I,AB,0.5289206444784105,0.7656780868546985,203
B + C + I,AB,0.5289206444784105,0.7988840003298394,203
T,AB,1.1059858678107368,0.8493166127495021,133
T + B,AB,1.9392156831267076,0.819405656999642,133
T + C,AB,1.9392156831267076,0.8265760768970011,133
T + I,GB,1.9392156831267076,0.8413493122947008,133
T + B + C,AB,2.216958954898697,0.8265760768970011,133
T + B + I,AB,2.216958954898697,0.8495047141663682,133
T + C + I,RF,2.216958954898697,0.8570943020611632,133
T + B + C + I,GB,2.3558305907846924,0.8569483282674772,133
