combination,ml type,loss rate,f1 score,support
B,AB,0.08382549030550646,0.9019457688157057,1296
C,DNN,0.08382549030550646,0.7113811728395061,1296
I,AB,0.08382549030550646,0.7779545296023639,1296
B + C,AB,0.08382549030550646,0.9398087947912904,1296
B + I,AB,0.08382549030550646,0.9189749694794525,1296
C + I,AB,0.08382549030550646,0.8081735949583508,1296
B + C + I,AB,0.08382549030550646,0.9328712099030112,1296
T,AB,0.1702915529691454,0.979438478309688,746
T + B,AB,2.255052964867638,0.9943661971830986,710
T + C,AB,2.255052964867638,0.9797716685152404,710
T + I,RF,2.255052964867638,0.9779474293929444,710
T + B + C,AB,2.860050568856929,0.9901705072013647,710
T + B + I,AB,2.860050568856929,0.9899853085765159,710
T + C + I,RF,2.860050568856929,0.9765608903764968,710
T + B + C + I,AB,3.162549370851575,0.9827760311871226,710
