combination,ml type,loss rate,f1 score,support
B,RF,0.49974785089962204,0.8053525447385077,194
C,AB,0.49974785089962204,0.7127369556406631,194
I,AB,0.49974785089962204,0.7152758054700035,194
B + C,AB,0.49974785089962204,0.8034957681480714,194
B + I,AB,0.49974785089962204,0.8076976464673326,194
C + I,KNN,0.49974785089962204,0.6991365332201384,194
B + C + I,AB,0.49974785089962204,0.7835051546391752,194
T,AB,1.1461616319319292,0.7882239846190819,133
T + B,AB,1.8299750569172577,0.8792472985743046,133
T + C,GB,1.8299750569172577,0.803350842860576,133
T + I,AB,1.8299750569172577,0.8645542427497314,133
T + B + C,AB,2.0579128652457004,0.8342482740244523,133
T + B + I,AB,2.0579128652457004,0.8946532999164577,133
T + C + I,AB,2.0579128652457004,0.7895212930562499,133
T + B + C + I,AB,2.171881769409922,0.8722093810319382,133
