combination,ml type,loss rate,f1 score
B,AB,0.0,0.771537951568734
C,SVM,0.0,0.966127408103901
I,GB,0.0,0.8242305839536525
B + C,KNN,0.0,0.9709965933413286
B + I,KNN,0.0,0.9151189059455168
C + I,AB,0.0,0.9854933417862035
B + C + I,KNN,0.0,0.9838941893811078
T,GN,0.12131411420976308,0.9958644473139416
T + B,AB,1.2864086999236415,0.9958644473139416
T + C,GN,1.2864086999236415,1.0
T + I,AB,1.2864086999236415,0.998631180191265
T + B + C,AB,1.9854654513519685,0.9944251234573814
T + B + I,AB,1.9854654513519685,1.0
T + C + I,GN,1.9854654513519685,1.0
T + B + C + I,LOG_R,2.4515032856375196,0.998631180191265
