combination,ml type,loss rate,f1 score
B,KNN,0.0,0.7473939160017946
C,LOG_R,0.0,0.9082136924716723
I,AB,0.0,0.8276838835299172
B + C,KNN,0.0,0.9172264778383653
B + I,AB,0.0,0.8689687942902682
C + I,KNN,0.0,0.957305074514774
B + C + I,AB,0.0,0.9499369813432398
T,GN,0.1702915529691454,0.9878985338799996
T + B,KNN,1.1847999053527023,0.9794907790794348
T + C,SVM,1.1847999053527023,0.9885173541247486
T + I,GN,1.1847999053527023,0.982994466275185
T + B + C,AB,1.5560363000668584,0.9957617347084535
T + B + I,AB,1.5560363000668584,0.9800348255416694
T + C + I,SVM,1.5560363000668584,0.9985872449028178
T + B + C + I,LOG_R,1.7787781368953524,0.9957352892290633
