combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.7744835106935002,1861
C,GB,0.0,0.9645351961311123,1861
I,GB,0.0,0.8192072122200168,1861
B + C,AB,0.0,0.9736546507474786,1861
B + I,AB,0.0,0.9026130401079776,1861
C + I,KNN,0.0,0.9726522807552929,1861
B + C + I,KNN,0.0,0.9833734194357417,1861
T,AB,0.12131411420976308,0.998631180191265,728
T + B,GN,1.2864086999236415,0.9931074121899028,728
T + C,AB,1.2864086999236415,1.0,728
T + I,GN,1.2864086999236415,0.9986214824379803,728
T + B + C,KNN,1.9854654513519685,0.9972330092630844,728
T + B + I,DNN,1.9854654513519685,0.9986214824379803,728
T + C + I,GN,1.9854654513519685,0.9986214824379803,728
T + B + C + I,KNN,2.4515032856375196,1.0,728
