combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.8209486751834075,865
C,GB,0.0,0.931629578405159,865
I,AB,0.0,0.7909277676167514,865
B + C,GB,0.0,0.9363052215636214,865
B + I,DT,0.0,0.8268023332541505,865
C + I,AB,0.0,0.9211506949194586,865
B + C + I,GB,0.0,0.9444880452050817,865
T,AB,1.103452668159068,0.7744360902255639,133
T + B,GB,10.862857553822323,0.7515418333066709,133
T + C,AB,10.862857553822323,0.8569483282674772,133
T + I,DNN,10.862857553822323,0.7970613556792745,133
T + B + C,AB,16.718500485220275,0.9094354739307284,133
T + B + I,DNN,16.718500485220275,0.8188709478614569,133
T + C + I,AB,16.718500485220275,0.8720063989761638,133
T + B + C + I,AB,20.622262439485574,0.9171806111022236,133
