combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.7614645333471075,1058
C,GB,0.0,0.9322411208695871,1058
I,GB,0.0,0.8029371007592935,1058
B + C,GB,0.0,0.957305847146931,1058
B + I,DT,0.0,0.8565882005285922,1058
C + I,AB,0.0,0.9583265277466347,1058
B + C + I,AB,0.0,0.9734994978254883,1058
T,RF,0.07202107152105366,0.9915741102606687,728
T + B,RF,1.197224575918561,0.9849681338146105,680
T + C,AB,1.197224575918561,0.9970588235294118,680
T + I,RF,1.197224575918561,0.9865224446148118,680
T + B + C,AB,1.5719492712712,0.9925677542271969,680
T + B + I,AB,1.5719492712712,0.9911764705882353,680
T + C + I,KNN,1.5719492712712,0.9970378643083381,680
T + B + C + I,LOG_R,1.796784088482783,0.9985242183928382,680
