combination,ml type,loss rate,f1 score,support
B,DT,0.0,0.6861474516814026,196
C,GB,0.0,0.7633474724015292,196
I,DT,0.0,0.6402193530473415,196
B + C,DT,0.0,0.8048392242895104,196
B + I,AB,0.0,0.6794286152464206,196
C + I,LR,0.0,0.7740243649668015,196
B + C + I,AB,0.0,0.8429126752741912,196
T,DT,1.0836247539803843,0.6914189093983373,146
T + B,DT,1.3729741698966151,0.7485431235431236,144
T + C,RF,1.3729741698966151,0.768654624347911,144
T + I,DNN,1.3729741698966151,0.7893880208333334,144
T + B + C,DT,1.446455780139463,0.8680364654502585,144
T + B + I,RF,1.446455780139463,0.8190251977984175,144
T + C + I,DT,1.446455780139463,0.8402546687029446,144
T + B + C + I,DT,1.4905447462851718,0.8187457000343997,144
