combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.801559425239445,1862
C,AB,0.0,0.9693772820650816,1862
I,RF,0.0,0.805180094501205,1862
B + C,AB,0.0,0.9741595896600226,1862
B + I,DT,0.0,0.8985749537266801,1862
C + I,AB,0.0,0.981714429512432,1862
B + C + I,AB,0.0,0.9817400644468314,1862
T,GN,0.12128038961177282,0.9972330092630844,728
T + B,SVM,1.2874736098650708,0.9944251234573814,728
T + C,RF,1.2874736098650708,0.9930571907431411,728
T + I,GN,1.2874736098650708,0.9958935405737949,728
T + B + C,DT,1.9871895420170493,0.9972330092630844,728
T + B + I,AB,1.9871895420170493,0.9986214824379803,728
T + C + I,GN,1.9871895420170493,1.0,728
T + B + C + I,RF,2.453666830118369,0.9986214824379803,728
