combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.6300948704806066,196
C,LRL,0.0,0.7311818941886923,196
I,KNN,0.0,0.6406841046277667,196
B + C,LR,0.0,0.8075735785018721,196
B + I,AB,0.0,0.705884110973704,196
C + I,LOG_R,0.0,0.7440560861613494,196
B + C + I,KNN,0.0,0.8027812687575031,196
T,KNN,1.1298474049808154,0.8265760768970011,133
T + B,AB,1.3725647922643591,0.8184777011020702,133
T + C,KNN,1.3725647922643591,0.8569483282674772,133
T + I,GB,1.3725647922643591,0.8174332382680841,133
T + B + C,AB,1.518195224634485,0.8420515970149699,133
T + B + I,GB,1.518195224634485,0.8184777011020702,133
T + C + I,GB,1.518195224634485,0.840967966133822,133
T + B + C + I,AB,1.6152821795479027,0.8945216289246515,133
