combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.77248011614985,1028
C,LOG_R,0.0,0.8827319213433323,1028
I,AB,0.0,0.7840246262620236,1028
B + C,AB,0.0,0.9118314168306535,1028
B + I,DT,0.0,0.8784239080010707,1028
C + I,KNN,0.0,0.9492343668873684,1028
B + C + I,AB,0.0,0.9522954586555776,1028
T,KNN,0.07449809371843544,0.983016384812792,728
T + B,GN,1.3172600810279584,0.9908445546636501,660
T + C,KNN,1.3172600810279584,0.9954057055914797,660
T + I,GN,1.3172600810279584,0.9878787878787879,660
T + B + C,DT,1.6639911225451334,0.9924504254069013,660
T + B + I,KNN,1.6639911225451334,0.9892005203943587,660
T + C + I,KNN,1.6639911225451334,0.9954057055914797,660
T + B + C + I,GN,1.8720297474554384,0.990909090909091,660
