combination,ml type,loss rate,f1 score,support
B,KNN,0.0,0.7420441903272134,194
C,SVM,0.0,0.7570345579570226,194
I,AB,0.0,0.5855466964603119,194
B + C,RF,0.0,0.8034957681480714,194
B + I,AB,0.0,0.7944012543894241,194
C + I,AB,0.0,0.7525773195876289,194
B + C + I,AB,0.0,0.7980107033488847,194
T,AB,1.0983379288936526,0.8413493122947008,133
T + B,GB,1.3176658868584354,0.8195488721804511,133
T + C,AB,1.3176658868584354,0.8346238731156248,133
T + I,DT,1.3176658868584354,0.7967160454327308,133
T + B + C,AB,1.449262661637305,0.8418902575587905,133
T + B + I,AB,1.449262661637305,0.8331657131835544,133
T + C + I,AB,1.449262661637305,0.84786103189007,133
T + B + C + I,AB,1.5369938448232183,0.9021225403935369,133
