combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.7890792785160008,1302
C,RF,0.0,0.9461478139642954,1302
I,AB,0.0,0.8246523798797409,1302
B + C,AB,0.0,0.9431258461010602,1302
B + I,DT,0.0,0.8780229859419832,1302
C + I,GB,0.0,0.947667474826536,1302
B + C + I,KNN,0.0,0.9653445808494295,1302
T,GN,0.1277555767361817,0.9986214824379803,728
T + B,AB,1.0121955613384255,0.9954907613486345,663
T + C,GN,1.0121955613384255,0.9984863951829631,663
T + I,AB,1.0121955613384255,0.9938795466742247,663
T + B + C,KNN,1.3640619920143202,0.9984863951829631,663
T + B + I,KNN,1.3640619920143202,0.9939239627474922,663
T + C + I,DT,1.3640619920143202,0.995426465878736,663
T + B + C + I,SVM,1.598639612464917,0.9984863951829631,663
