combination,ml type,loss rate,f1 score,support
B,DT,0.0,0.6813548314578677,198
C,AC,0.0,0.7776400149502618,198
I,AB,0.0,0.6940273268398269,198
B + C,LRL,0.0,0.7625946142523561,198
B + I,AB,0.0,0.7217534357715255,198
C + I,DT,0.0,0.7850190479108577,198
B + C + I,AB,0.0,0.822974906365482,198
T,AB,1.1272605766220196,0.7519358572972918,133
T + B,KNN,1.3971247554086466,0.7952612214486413,133
T + C,AB,1.3971247554086466,0.849624060150376,133
T + I,DT,1.3971247554086466,0.7818807768301965,133
T + B + C,DT,1.5590432626806228,0.8346238731156248,133
T + B + I,AB,1.5590432626806228,0.8645542427497314,133
T + C + I,KNN,1.5590432626806228,0.7728219913709763,133
T + B + C + I,DT,1.6669889341952737,0.8645542427497314,133
