combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.710678098407324,749
C,RF,0.0,0.9289797605839525,749
I,GB,0.0,0.8060193264891679,749
T,LOG_R,0.0,0.9828796270234288,728
B + C,KNN,0.0,0.9421741986303124,749
B + I,AB,0.0,0.862214461249734,749
C + I,RF,0.0,0.9422676639597285,749
B + C + I,KNN,0.0,0.9369905943640817,749
T + B + C + I,GB,2.8611882787610146,0.9513050835984566,395
T + B + C,AB,2.87406588055721,0.9633188514624903,395
T + B + I,SVM,2.87406588055721,0.9574258843873972,395
T + C + I,DT,2.87406588055721,0.9640917356719724,395
T + B,AB,2.8998210841496017,0.950402365477497,395
T + C,GB,2.8998210841496017,0.9660647763793401,395
T + I,DT,2.8998210841496017,0.9511013557747215,395
