combination,ml type,loss rate,f1 score,support
B,LR,0.0,0.4581028843294677,136
C,LR,0.0,0.48484848484848486,136
I,KM,0.0,0.5609175870858114,136
B + C,LR,0.0,0.4044491154317744,136
B + I,KM,0.0,0.4898840645601274,136
C + I,LR,0.0,0.48930612244897964,136
B + C + I,KM,0.0,0.4838855848201642,136
T + B + C + I,DT,0.8953862402788961,0.828083028083028,128
T + B + C,AB,0.993093686316836,0.8200378996271166,128
T + B + I,AB,0.993093686316836,0.83544536271809,128
T + C + I,GB,0.993093686316836,0.8202137404580152,128
T + B,GB,1.1396548553737458,0.8026518655565834,128
T + C,GB,1.1396548553737458,0.7337900660631269,128
T + I,RF,1.1396548553737458,0.8277465133349645,128
T,AB,1.3839234704685952,0.7733129770992366,128
