combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.8007067316380474,1887
C,AB,0.0,0.9676964497714227,1887
I,GB,0.0,0.7828790646523339,1887
B + C,AB,0.0,0.9772546994073902,1887
B + I,AB,0.0,0.8843153603866231,1887
C + I,AB,0.0,0.9793386237485902,1887
B + C + I,AB,0.0,0.9819929532180417,1887
T,GN,0.12123031882336677,0.9972330092630844,728
T + B,DT,1.3122188094371214,0.9958343144458847,728
T + C,AB,1.3122188094371214,0.9986214824379803,728
T + I,GN,1.3122188094371214,1.0,728
T + B + C,GB,2.026811903805374,1.0,728
T + B + I,AB,2.026811903805374,0.994466018526169,728
T + C + I,AB,2.026811903805374,1.0,728
T + B + C + I,AB,2.503207300050876,1.0,728
