combination,ml type,loss rate,f1 score,support
B,RF,0.0,0.7107180748483137,209
C,RF,0.0,0.7547522334125205,209
I,GB,0.0,0.7201640464798359,209
B + C,AB,0.0,0.7703349282296651,209
B + I,DT,0.0,0.7371606481693601,209
C + I,GB,0.0,0.7699739177749272,209
B + C + I,RF,0.0,0.7933047813430589,209
T,AB,1.1059858678107368,0.8342482740244523,133
T + B,DT,1.4415037801553265,0.8113273042687158,133
T + C,GB,1.4415037801553265,0.8567367591757836,133
T + I,GB,1.4415037801553265,0.8151953309848047,133
T + B + C,AB,1.6428145275620802,0.8794532901996018,133
T + B + I,GB,1.6428145275620802,0.800703056342154,133
T + C + I,GB,1.6428145275620802,0.8641532108960926,133
T + B + C + I,GB,1.777021692499916,0.8247373400388388,133
