combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.7304366916964309,1102
C,LOG_R,0.0,0.9014538668243961,1102
I,AB,0.0,0.8198997850434824,1102
B + C,AB,0.0,0.9044251462007308,1102
B + I,DT,0.0,0.8732824471672499,1102
C + I,AB,0.0,0.9500534094512773,1102
B + C + I,AB,0.0,0.9464372357516965,1102
T,RF,0.1702915529691454,0.969741704363345,746
T + B,AB,1.1847999053527023,0.9814012873563864,710
T + C,DT,1.1847999053527023,0.9901705072013647,710
T + I,RF,1.1847999053527023,0.9753538474877003,710
T + B + C,SVM,1.5560363000668584,0.9913880155935613,710
T + B + I,AB,1.5560363000668584,0.9799053697183099,710
T + C + I,AB,1.5560363000668584,0.9957617347084535,710
T + B + C + I,LOG_R,1.7787781368953524,0.9957352892290633,710
