combination,ml type,loss rate,f1 score,support
B,AB,0.0,0.6950816823079596,200
C,SVM,0.0,0.8071097571440831,200
I,AB,0.0,0.6654365807601266,200
B + C,AB,0.0,0.802882914750619,200
B + I,AB,0.0,0.7284240635758847,200
C + I,AB,0.0,0.811578323548058,200
B + C + I,DT,0.0,0.83,200
T,AB,1.1461616319319292,0.8195488721804511,133
T + B,GB,1.4295449152689077,0.7870054446460979,133
T + C,AB,1.4295449152689077,0.8641532108960926,133
T + I,GB,1.4295449152689077,0.81149573575761,133
T + B + C,AB,1.5995748852710947,0.8262397229894344,133
T + B + I,GB,1.5995748852710947,0.7742570712495525,133
T + C + I,AB,1.5995748852710947,0.878288825512056,133
T + B + C + I,AB,1.7129281986058857,0.8416564180363924,133
